room	pages
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
306	10
310	4
301	5
306	10
302	1
210	50
217	50
306	10
210	57
217	93
306	10
304	7
215	125
